description;popularity;poster_path;vote_average;vote_count;tmdb_id;movieId;title;year;Adventure;Animation;Children;Comedy;Fantasy;Romance;Drama;Action;Crime;Thriller;Horror;Mystery;Sci-Fi;IMAX;Documentary;War;Musical;Western;Film-Noir;tmdbId;actor1;actor2;actor3;actor4;actor5;director1
Enforcing the law within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects is the NYPD's sixty-fifth precinct. Three police officers struggle with the sometimes fine line between right and wrong.;13.515;/9ZyJJpMsc3bF8gduDaxo0zo1gwK.jpg;6.296;763.0;26390.0;74944.0;Brooklyn's Finest;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26390.0;Richard Gere;Don Cheadle;Ethan Hawke;Wesley Snipes;Vincent D'Onofrio;Antoine Fuqua
When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.;21.974;/wTy3rtmbgJkClR492q6FBbtdeMb.jpg;6.4;1732.0;34016.0;74946.0;She's Out of My League;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34016.0;Jay Baruchel;Alice Eve;T.J. Miller;Nate Torrence;Mike Vogel;Jim Field Smith
Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.;15.892;/j7umuMiLCHvWT7wYhFKJOTFSokF.jpg;7.103;3196.0;23169.0;75341.0;Remember Me;2010;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23169.0;Robert Pattinson;Emilie de Ravin;Pierce Brosnan;Lena Olin;Chris Cooper;Allen Coulter
When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.;21.533;/6SjRpaJg43iJnY0jlJ6c61tAKOo.jpg;5.945;1530.0;44363.0;75395.0;Frozen;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44363.0;Emma Bell;Shawn Ashmore;Kevin Zegers;Ed Ackerman;Rileah Vanderbilt;Adam Green
The weeks leading up to a young couple's wedding is comic and stressful, especially as their respective fathers try to lay to rest their feud.;6.726;/zvRn8aM9lmuBbbJVJgxZl41zarB.jpg;5.677;110.0;34563.0;75803.0;Our Family Wedding;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34563.0;Forest Whitaker;America Ferrera;Carlos Mencia;Regina King;Lance Gross;Rick Famuyiwa
Milo Boyd is a bounty hunter whose latest gig is rather satisfying, as he finds out that the bail-skipper he must chase down is his own ex-wife, Nicole -- but she has no intention of getting nabbed without a fight. Complicating matters, Nicole's wannabe-boyfriend, Stewart, joins the chase.;14.124;/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg;5.843;2477.0;27573.0;75805.0;Bounty Hunter, The;2010;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27573.0;Gerard Butler;Jennifer Aniston;Peter Greene;Jeff Garlin;Jason Sudeikis;Andy Tennant
In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.;16.39;/briDKf5nrLzox2zcI6pquKeqWz8.jpg;6.312;1614.0;31867.0;75985.0;Repo Men;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;31867.0;Jude Law;Forest Whitaker;Alice Braga;Liev Schreiber;Carice van Houten;Miguel Sapochnik
A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.;13.56;/wj1LJ8ehwevKVpDjFsDmbCkPyO9.jpg;6.014;2079.0;23048.0;76077.0;Hot Tub Time Machine;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;23048.0;John Cusack;Craig Robinson;Rob Corddry;Clark Duke;Sebastian Stan;Steve Pink
As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.;90.369;/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg;7.798;11239.0;10191.0;76093.0;How to Train Your Dragon;2010;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;10191.0;Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;Jonah Hill;Chris Sanders
Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.;86.901;/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg;5.859;5493.0;18823.0;76175.0;Clash of the Titans;2010;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18823.0;Sam Worthington;Gemma Arterton;Mads Mikkelsen;Alexa Davalos;Jason Flemyng;Louis Leterrier
Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.;64.695;/8citjdBmjddZjlPsAHEyCKwGVvD.jpg;7.115;10349.0;23483.0;76251.0;Kick-Ass;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23483.0;Aaron Taylor-Johnson;Chloë Grace Moretz;Nicolas Cage;Lyndsy Fonseca;Mark Strong;Matthew Vaughn
Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.;25.429;/3DQesDGFJ6l8lASDmv49KW161kP.jpg;6.068;2475.0;35056.0;76293.0;Date Night;2010;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35056.0;Steve Carell;Tina Fey;Mark Wahlberg;Taraji P. Henson;Jimmi Simpson;Shawn Levy
Finnish men in sauna, speaking straight from the heart.;1.324;/e7h7G7p7teeMYAMX3YWO4FfwmEH.jpg;7.172;29.0;52903.0;76738.0;Steam of Life (Miesten vuoro);2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;52903.0;Timo Aalto;Pekka Ahonen;Aarne Aksila;Mauno Alasuutari;Arto Blomqvist;Joonas Berghäll
A group of high school outcasts get revenge on the students that torment them.;26.882;/3jPSvaW9veHVeaEll9DH7eoJ634.jpg;6.014;221.0;34583.0;76753.0;Final, The;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34583.0;Marc Donato;Jascha Washington;Whitney Hoy;Justin Arnold;Lindsay Seidel;Joey Stewart
Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for the Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengali-like influence of impresario Kim Fowley, the band becomes a huge success.;10.983;/byeTXKg9paqiFQbtfI28FOIhebg.jpg;6.453;684.0;27586.0;76763.0;Runaways, The;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;27586.0;Kristen Stewart;Dakota Fanning;Scout Taylor-Compton;Riley Keough;Stella Maeve;Floria Sigismondi
Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.;11.21;/oBCQYMJTqV3qLjrvZ5sTZUCBky7.jpg;5.785;800.0;34803.0;77191.0;Death at a Funeral;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34803.0;Chris Rock;Martin Lawrence;Zoe Saldaña;Tracy Morgan;Regina Hall;Neil LaBute
Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!;28.777;/7RGUAaint4mA3yKXQ9C0isePEfZ.jpg;6.216;1312.0;33217.0;77206.0;Diary of a Wimpy Kid;2010;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33217.0;Zachary Gordon;Robert Capron;Steve Zahn;Devon Bostick;Rachael Harris;Thor Freudenthal
On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.;55.28;/e5oD3fuQpjZ8Po6WNW0VkUJmW52.jpg;6.267;1496.0;34813.0;77364.0;Losers, The;2010;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34813.0;Jeffrey Dean Morgan;Zoe Saldaña;Chris Evans;Idris Elba;Columbus Short;Sylvain White
A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.;17.007;/76twEOHXAM2oKnvZYBI5bP6GeDu.jpg;7.249;3093.0;35690.0;77414.0;Last Song, The;2010;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35690.0;Miley Cyrus;Greg Kinnear;Bobby Coleman;Liam Hemsworth;Hallock Beals;Julie Anne Robinson
With John's social life at a standstill and his ex-wife about to get remarried, a down on his luck divorcée finally meets the woman of his dreams, only to discover she has another man in her life - her son. Before long, the two are locked in a battle of wits for the woman they both love-and it appears only one man can be left standing when it's over.;7.867;/94Adp61ssiAloSC4vxfCHpub9HO.jpg;5.883;343.0;39053.0;77421.0;Cyrus;2010;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39053.0;John C. Reilly;Jonah Hill;Marisa Tomei;Catherine Keener;Matt Walsh;Jay Duplass
Banksy is a graffiti artist with a global reputation whose work can be seen on walls from post-hurricane New Orleans to the separation barrier on the Palestinian West Bank. Fiercely guarding his anonymity to avoid prosecution, Banksy has so far resisted all attempts to be captured on film. Exit Through the Gift Shop tells the incredible true story of how an eccentric French shop keeper turned documentary maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner.;11.706;/y6HK3PeQNeNLyruwtpCmV3TWuUx.jpg;7.574;733.0;39452.0;77455.0;Exit Through the Gift Shop;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;39452.0;Shepard Fairey;Rhys Ifans;INVADER;Debora Guetta;Monsieur André;Banksy
With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.;152.83;/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg;6.833;18445.0;10138.0;77561.0;Iron Man 2;2010;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;10138.0;Robert Downey Jr.;Gwyneth Paltrow;Don Cheadle;Scarlett Johansson;Sam Rockwell;Jon Favreau
